framework,runtime,license,maintenance_signal,execution_model,data_granularity,order_types_lifecycle,portfolio_multiasset,margin_short_funding,cost_models,optimization,overfitting_guards,ml_hooks,live_bridge,analytics_reporting,strategy_api,performance_claim,adoption_signal
Backtrader,Python,GPL-3.0,dormant (last release 2023-04),event-driven bar-by-bar,tick+bar (any timeframe),"market/limit/stop/stoplimit/stoptrail/OCO/bracket, full lifecycle",multi-data + basic portfolio (no cross-asset optimizer),shorting+basic margin; no funding,commission+configurable slippage; no market-impact,grid only,none,none native,"IB/Oanda/VisualChart live",analyzers (Sharpe/drawdown/SQN) + matplotlib,"Strategy subclass; indicators/analyzers/sizers plugins",none published,~22.5k stars (claim); widely taught
VectorBT,Python (Numba),"fair-code (Commons Clause on OSS)",OSS edition frozen (PRO active) — unconfirmed,vectorized array,bar (any timeframe),"vectorized entries/exits; SL/TP/trailing via params; no broker-style lifecycle",multi-asset arrays + portfolio-level,shorting; leverage params; no funding,fixed/pct fees + slippage; no market-impact,"grid at scale (its core strength)",none,"numpy-native; pairs with sklearn/ML by user",none in OSS,"stats + plotly dashboards",functional/array API (steep),"massive-sweep speed (vendor claim)","~4-5k stars (claim); research-heavy users"
Zipline-reloaded,Python,Apache-2.0,single-maintainer (3.1.1 2025-07-23),event-driven bar,daily+minute (US equities),"market/limit/stop/stoplimit; no bracket/OCO/trailing",US equities; Pipeline cross-sectional factor engine,shorting; basic; no futures/options/funding,commission models + slippage (volume-share/fixed); no impact,none built-in,none,Pipeline factors feed sklearn by user,none maintained,pyfolio/empyrical tearsheets,"TradingAlgorithm + Pipeline API",none published,~1.8k stars (claim); research
QuantConnect LEAN,C# core + Python,Apache-2.0,actively maintained (QuantConnect),event-driven,"tick/second/minute/hour/daily",market/limit/stop/stoplimit; bracket+OCO emulated,"multi-asset (equity/options/futures/FX/CFD/crypto/index)",margin/shorting/leverage; futures+funding via data,commission+slippage+fee models per market; fill models,grid + walk-forward (no random/bayesian/GA native),none (no purged-CV/deflated-Sharpe/PBO),ML via Python libs; research notebooks,"broad brokerage list; backtest→paper→live",rich statistics + charts + reports,"QCAlgorithm API; extensive",platform scale (vendor claims: 300k users/$65B),large; commercial+OSS
Freqtrade,Python,GPL-3.0,active (2026.6, 2026-06-29),bar (candle) loop,candle/bar (crypto),"market/limit; SL/TP/trailing; crypto order flags",crypto only; multi-pair single-asset-class,"native futures/leverage/shorting/funding (crypto)",fees; no slippage/spread/market-impact,Optuna hyperopt,"lookahead + recursive-bias check tools",FreqAI (built-in ML retraining),"native crypto-exchange live/dry-run",metrics + plotting + telegram,"IStrategy class; hyperopt spaces",none published,~52k stars (claim); largest crypto community
NautilusTrader,Rust core + Python,LGPL-3.0,active (1.230.0 beta 2026-06-29),event-driven (nanosecond),"tick/quote/orderbook/bar",full lifecycle: market/limit/stop/stoplimit/bracket/OCO/post-only/reduce-only,asset-class-agnostic multi-venue portfolio,cash+margin accounts; perps (funding not documented),fill/slippage/latency models,none built-in (user-built),none built-in,none packaged (user-built),"production live multi-venue",reports (thinly documented),"Strategy/Actor API; Rust or Python",Rust-core speed (vendor claim),growing; production-oriented
Jesse,Python,MIT,active,bar (candle) loop,candle/bar (crypto),"market/limit/stop; no bracket/OCO/trailing documented",crypto; multi-route,leverage+shorting (crypto); funding not documented,fees; slippage/impact not documented,Optuna + Monte Carlo built-in,none formal,none packaged,"backtest→paper→live crypto (unified)",metrics + charts,"Strategy class; clean",industry-leading accuracy (vendor claim),moderate crypto community
PyBroker,Python (NumPy+Numba),"Apache-2.0 + Commons Clause",active,vectorized bar,bar (daily/intraday),"market/limit/stop; no stoplimit/bracket/margin documented",multi-symbol; ML-portfolio,shorting; margin not documented,fees+slippage config; no market-impact,"walk-forward built-in (core feature)","walk-forward + BCa-bootstrap CIs on Sharpe/PF/DD (native)",built around model training (core),none (research only),"metrics + bootstrap CIs",Strategy + model API,"NumPy+Numba speed (vendor claim)",modest; ML-focused
Backtesting.py,Python,AGPL-3.0,very active (0.6.6 2026-07-22),vectorized-ish bar loop,bar (any timeframe),"market/limit/stop + SL/TP bracket per trade",SINGLE-ASSET only,margin/shorting/hedging; no funding,commission (fixed/pct) + optional slippage; no impact,grid + SAMBO optimizer with heatmap,none formal,none packaged,none,"metrics + bokeh plots + heatmaps",Strategy subclass (concise),lightweight/fast (unquantified claim),~6k stars (claim); popular for simple tests
QuantStats,Python,Apache-2.0,bursty (0.0.81 pre-1.0),N/A — analytics only,N/A (returns series),N/A,works on a returns/portfolio series,N/A,N/A,N/A,none,feeds nothing (reporting sink),N/A,"50+ metrics: Sharpe/Sortino/Calmar/Omega/tail-ratio/CVaR/Ulcer/UPI/Kelly/risk-of-ruin/gain-to-pain/recovery + HTML tearsheets + MC suite",functions over returns series,none published,widely used for tearsheets
TradingAgents (ours),Python,proprietary (internal),active (this repo),event/bar hybrid — next-bar-open fills + intrabar stop/TP touch,"1m-1w bars (no tick)","market only (entry_price ignored); protective stop + TP ladder + breakeven; no limit/stop-entry/OCO/trailing",single-symbol single-timeframe; multi-position same symbol,shorting (long+short rules); no margin/funding/liquidation,"flat 2bps slippage + 1bp commission + participation-cap liquidity; no spread/impact",none (walk-forward is stability-only, no fitting),"look-ahead-safe indicators; no purged-CV/deflated-Sharpe/PBO",rules engine + LLM pipeline; unwired Q-learning prototype,"paper loop; live gated (not engine feature)","Sharpe/Sortino/Calmar/PF/expectancy/R-multiples/MC/regime/agent-attribution; MD+PNG report; no Omega/MAR/Ulcer/rolling",no strategy SDK (LLM pipeline or rules stand-in),"~11 dec/s prod 1vCPU (measured, not vendor)",internal single-deployment
